"Как выглядит обратная элементарная матрица \(E_{ij}^{-1}\)?","\(E_{ij}^{-1}=I+ l_{ij}\, \mathbf e_i \mathbf e_j^{\top}\) (смена знака по сравнению с \(E_{ij}\))."
"Дайте определение числа обусловленности.","\(\kappa(A)=\|A\|\,\|A^{-1}\|\) (в норме); большое \(\kappa\) означает сильное усиление относительных ошибок."
"Почему частичный выбор улучшает устойчивость?","Он выбирает крупный по модулю pivot в столбце и обеспечивает \(|l_{ik}|\le 1\), ограничивая рост ошибок округления."
"Что такое полный выбор ведущего элемента?","На шаге \(k\) выбирают максимум по модулю во всей подматрице \((k{:}n,\,k{:}n)\) с перестановкой строк и столбцов (разложение \(PAQ=LU\))."
"Запишите формулу правила Крамера для \(x_i\).","\(x_i=\dfrac{\det(A_i)}{\det(A)}\), где \(A_i\) — матрица, полученная заменой \(i\)-го столбца \(A\) на \(b\) (требует \(\det A\neq 0\))."
"Сколько решений может иметь система линейных уравнений?","Три варианта: 0 (несовместна), 1 (единственное), бесконечно много (линейно зависимые уравнения)."
"Как вычисляется элемент \(c_{ij}\) в \(C=AB\)?","\(c_{ij}=\sum_{k=1}^{n} a_{ik} b_{kj}\) — скалярное произведение строки \(i\) матрицы \(A\) и столбца \(j\) матрицы \(B\)."
"Почему метод исключения предпочтительнее правила Крамера?","Сложность исключения \(O(n^3)\) против \(O(n\cdot n!)\) у правила Крамера; для умеренных и больших \(n\) исключение на порядки быстрее."
"Дайте определение умножения матриц.","Для \(A\in\mathbb{R}^{m\times n}\), \(B\in\mathbb{R}^{n\times p}\): \([AB]_{ij}=\sum_{k=1}^{n} a_{ik}b_{kj}\); \(j\)-й столбец \(AB\) равен \(A\) умножить на \(j\)-й столбец \(B\)."
"Как вычисляется \(i\)-я компонента \(Ax\)?","\([Ax]_i=\sum_{j=1}^{n} a_{ij} x_j\) (скалярное произведение строки \(i\) с вектором \(x\))."
"Точная формула числа операций прямого хода.","\(P=\dfrac{n^3-n}{3}\approx n^3/3\)."
"Что такое частичный выбор ведущего элемента?","На шаге \(k\) выбирают максимальный по модулю элемент в столбце \(k\) среди строк \(\ge k\) и переставляют строки (разложение \(PA=LU\))."
"Определение \(\kappa(A)\) (ещё раз).","\(\kappa(A)=\|A\|\,\|A^{-1}\|\); оценивает усиление относительной ошибки решения относительно ошибки данных."
"Что такое элементарная матрица исключения \(E_{ij}\)?","Матрица вида \(E_{ij}=I- l_{ij}\, \mathbf e_i \mathbf e_j^{\top}\); умножение слева реализует шаг \(R_i\leftarrow R_i - l_{ij}R_j\)."
"Дайте формальное определение ленточной матрицы с шириной \(w\).","Матрица \(A\) ленточная с шириной \(w\), если \(a_{ij}=0\) при \(|i-j|>w\) (все ненулевые элементы находятся в полосе шириной \((2w+1)\) вокруг главной диагонали)."
"Как определяется ширина ленты \(w\) матрицы \(A\)?","\(w=\max\{\,|i-j|:\,a_{ij}\neq 0\,\}\) (за её пределами \(|i-j|>w\) элементы нулевые)."
"Запишите формулу числа операций LDU-разложения для ленточной матрицы ширины \(w\) и размера \(n\).","\[ P=\frac{1}{3}\,w(w-1)\,(3n-2w+1). \]"
"Какова асимптотика числа операций исключения Гаусса для ленточной матрицы ширины \(w\) (размер \(n\times n\))?","Прямой ход: \(P\approx n\,w^2\); для плотной — \(\approx n^3/3\)."
"Что такое трёхдиагональная матрица?","Это ленточная матрица с шириной \(w=1\): \(a_{ij}=0\) при \(|i-j|>1\) (ненули только на главной и двух соседних диагоналях)."
"Дайте центральную разностную аппроксимацию для второй производной в точке \(x\).","\[ \frac{d^2u}{dx^2}(x)\approx \frac{u(x+h)-2u(x)+u(x-h)}{h^2}. \]"
"Как выглядит дискретизация уравнения \(-u''(x)=f(x)\) в узле \(x_j\) центральной разностью?","\[ -u_{j+1}+2u_j-u_{j-1}=h^2\,f(jh). \]"
"Запишите постановку типичной двухточечной краевой задачи на [0,1] для \(-u''=f(x)\) с нулевыми границами.","\(-u''(x)=f(x)\), \(0\le x\le 1\); условия: \(u(0)=0\), \(u(1)=0\)."
"Дайте определение симметрической матрицы.","Квадратная матрица \(A\), для которой \(A^{\top}=A\) (эквивалентно: \(a_{ij}=a_{ji}\))."
"Как определяется транспонированная матрица \(A^{\top}\)?","Элементно: \((A^{\top})_{ij}=a_{ji}\) (строки \(A\) становятся столбцами)."
"Дайте определение положительно определённой матрицы.","Симметрическая матрица \(A\) положительно определена, если \(x^{\top}Ax>0\) для всех ненулевых \(x\)."
